Time stamp,Open,Close,High,Low,Volume
2020-02-12 15:33:00,325.28,325.45,325.48,325.25,61499.0
2020-02-12 15:32:00,325.32,325.28,325.35,325.22,27178.0
2020-02-12 15:31:00,325.26,325.33,325.37,325.24,54424.0
2020-02-12 15:30:00,325.39,325.3,325.39,325.2,49349.0
2020-02-12 15:29:00,325.33,325.4,325.43,325.33,35431.0
2020-02-12 15:28:00,325.39,325.32,325.43,325.31,49632.0
2020-02-12 15:27:00,325.37,325.38,325.4,325.3,22201.0
2020-02-12 15:26:00,325.36,325.36,325.43,325.34,70422.0
2020-02-12 15:25:00,325.26,325.37,325.42,325.22,49665.0
2020-02-12 15:24:00,325.23,325.26,325.31,325.2,36463.0
2020-02-12 15:23:00,325.07,325.22,325.23,325.07,45105.0
2020-02-12 15:22:00,325.05,325.06,325.13,325.05,27817.0
2020-02-12 15:21:00,325.07,325.06,325.15,325.0,33183.0
2020-02-12 15:20:00,325.06,325.07,325.11,325.03,37953.0
2020-02-12 15:19:00,325.04,325.05,325.08,324.99,39906.0
2020-02-12 15:18:00,324.9,325.04,325.05,324.87,66209.0
2020-02-12 15:17:00,324.99,324.9,325.04,324.9,29496.0
2020-02-12 15:16:00,324.99,324.98,325.06,324.94,25609.0
2020-02-12 15:15:00,325.0,325.0,325.06,324.9,47771.0
2020-02-12 15:14:00,325.01,325.01,325.1,324.99,44485.0
2020-02-12 15:13:00,325.0,325.01,325.09,324.98,49472.0
2020-02-12 15:12:00,325.03,324.98,325.05,324.96,129953.0
2020-02-12 15:11:00,325.28,325.02,325.28,324.96,85921.0
2020-02-12 15:10:00,325.36,325.28,325.38,325.18,40573.0
2020-02-12 15:09:00,325.34,325.36,325.39,325.3,24599.0
2020-02-12 15:08:00,325.41,325.33,325.43,325.32,30002.0
2020-02-12 15:07:00,325.39,325.43,325.47,325.39,29782.0
2020-02-12 15:06:00,325.4,325.39,325.41,325.29,28986.0
2020-02-12 15:05:00,325.37,325.41,325.45,325.34,27939.0
2020-02-12 15:04:00,325.3,325.39,325.44,325.3,42265.0
2020-02-12 15:03:00,325.32,325.3,325.39,325.1,62524.0
2020-02-12 15:02:00,325.31,325.33,325.35,325.26,17771.0
2020-02-12 15:01:00,325.35,325.31,325.38,325.24,22234.0
2020-02-12 15:00:00,325.27,325.34,325.39,325.27,25981.0
2020-02-12 14:59:00,325.37,325.26,325.4,325.24,39375.0
2020-02-12 14:58:00,325.3,325.36,325.36,325.26,20000.0
2020-02-12 14:57:00,325.22,325.3,325.35,325.21,31799.0
2020-02-12 14:56:00,325.15,325.2,325.23,325.12,28396.0
2020-02-12 14:55:00,325.32,325.15,325.34,325.09,49973.0
2020-02-12 14:54:00,325.33,325.33,325.39,325.28,30459.0
2020-02-12 14:53:00,325.36,325.32,325.39,325.32,25871.0
2020-02-12 14:52:00,325.35,325.35,325.43,325.28,37267.0
2020-02-12 14:51:00,325.48,325.32,325.5,325.2,67880.0
2020-02-12 14:50:00,325.37,325.49,325.53,325.37,98263.0
2020-02-12 14:49:00,325.4,325.37,325.45,325.3,60920.0
2020-02-12 14:48:00,325.13,325.39,325.4,325.12,77980.0
2020-02-12 14:47:00,325.11,325.12,325.2,325.06,33638.0
2020-02-12 14:46:00,325.06,325.1,325.12,325.01,20737.0
